shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
20259,38.6292723183302,-9.11665440491256,1,
20259,38.6278191842044,-9.11372490293704,2,
20259,38.6288362282685,-9.11283141035949,3,
20259,38.6309975909304,-9.11558485205348,4,
20259,38.632393795971,-9.11790318934231,5,
20259,38.6298360299319,-9.11855068308894,6,
20259,38.6297011861339,-9.12172139795549,7,
20259,38.6306523083611,-9.1241928085727,8,
20259,38.6299516855184,-9.12601703669623,9,
20259,38.6279590397405,-9.12582113752222,10,
20259,38.6258469558086,-9.12557632338144,11,
20259,38.6239547425544,-9.12496956157951,12,
20259,38.6205467801043,-9.1280574716071,13,
20387,38.6536942223893,-9.14904787357934,1,
20387,38.653779393923,-9.14733867628464,2,
20387,38.6534142756888,-9.14620619997306,3,
20387,38.650978868582,-9.14361595720469,4,
20387,38.648868962816,-9.14676734662577,5,
20387,38.6489285227229,-9.14928944351932,6,
20387,38.6464742040742,-9.1491185148072,7,
20387,38.6452922429755,-9.14702256153957,8,
20387,38.6427146071057,-9.14783426874983,9,
20387,38.6366169817752,-9.15019204314079,10,
20390,38.6096514948723,-9.1004333099429,1,
20390,38.6132433798751,-9.10195139677793,2,
20390,38.6148259844493,-9.10375079075524,3,
20390,38.6162446975814,-9.10322575250764,4,
20390,38.6178515412116,-9.10217844407648,5,
20390,38.6192518971686,-9.10180659788186,6,
20390,38.6226611530649,-9.09849110535917,7,
20390,38.6242221753706,-9.10018046071207,8,
20390,38.6262365221233,-9.10109041068573,9,
20390,38.6293542916562,-9.10136131625296,10,
20390,38.6312711340153,-9.10013333309394,11,
20390,38.6339419046438,-9.09906794618284,12,
20390,38.6367558232075,-9.1003395019064,13,
20390,38.6385108076696,-9.10072475006472,14,
20390,38.6397504862962,-9.09985767561298,15,
20390,38.6385679668519,-9.09841374072153,16,
20391,38.5191872983267,-9.0132153696308,1,
20391,38.5227472979235,-9.01631255889649,2,
20391,38.5259291660082,-9.01813643765284,3,
20391,38.531077095829,-9.02113153115061,4,
20391,38.5361309062125,-9.02407925689359,5,
20391,38.5398136662226,-9.02621702029248,6,
20391,38.5442409446864,-9.02879270377008,7,
20391,38.5543188229845,-9.03471970468033,8,
20391,38.5533063635714,-9.038400204722,9,
20391,38.5544276579875,-9.04118984505198,10,
20391,38.5574315185129,-9.04255837614842,11,
20391,38.5584344421643,-9.04084884764528,12,
20391,38.5605519028872,-9.03849660844692,13,
20391,38.5603225100141,-9.04139101658817,14,
20391,38.5589885052713,-9.04615128279622,15,
20391,38.5575914704278,-9.05107123544326,16,
20391,38.5588988787414,-9.0520963468899,17,
20391,38.5611841368768,-9.0521057316354,18,
20391,38.5640646568836,-9.05216908886968,19,
20391,38.5667282910899,-9.05204795926229,20,
20391,38.568630348966,-9.0465698758776,21,
