stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11_3659,,Alcochete (EM 502 Fte 3) Vila Sol,,38.7445983910088,-8.95781139676068,,,,
11_2433,,Aldeia Gatos,,38.4637,-9.1094,,,,
11_2265,,Aldeia Gatos,,38.4637215733304,-9.10951394822814,,,,
11_483,,Aldeia Grande (EN 10) Fte Qta Esteval,,38.5249360828652,-8.94750973020548,,,,
11_484,,Aldeia Grande (EN 10) Qta Esteval,,38.5247324980944,-8.94638035721065,,,,
11_479,,Aldeia Grande (EN 10 Km 31500) Choco Frito,,38.5181721281794,-8.96934454427273,,,,
11_480,,Aldeia Grande (EN 10 Km 31500) Fte Choco Frito,,38.5185761811104,-8.96830019892706,,,,
11_482,,Aldeia Grande (EN 10 Km 32000 92),,38.520867996845,-8.96355281975668,,,,
11_481,,Aldeia Grande (EN 10 Km 32000 92),,38.520806793104,-8.96368334298862,,,,
11_487,,Aldeia Grande (EN 10 Km 32500) Casal Ponte,,38.5226421261912,-8.95869275475872,,,,
11_485,,Aldeia Grande (EN 10 Km 32500) Fte Casal Ponte,,38.5226801616407,-8.95836981807855,,,,
11_2446,,Aldeia Irmãos (28) Paragem Zona,,38.5101472837208,-9.02998998559557,,,,
11_2445,,Aldeia Irmãos (Paragem Zona),,38.5105566997049,-9.02916941216781,,,,
11_2448,,Aldeia Meco (Avª Forças Armadas) Casal Stª Filomen,,38.4623977944716,-9.1663888592841,,,,
11_2447,,Aldeia Meco (Avª Forças Armadas) Casal Stª Filomen,,38.4619449793709,-9.16594124724563,,,,
11_1170,,Aldeia Meco (Avª Forças Armadas Fte Lte 174),,38.4670048981215,-9.16927937889674,,,,
11_1169,,Aldeia Meco (Avª Forças Armadas Lte 174),,38.4668346769468,-9.16922072256248,,,,
11_2449,,Aldeia Meco (Estr Marconi) Artesanato,,38.4780690943792,-9.16462686972028,,,,
