shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
20085,38.6765264268243,-9.17103898081812,1,
20085,38.679052413504,-9.16798207656849,2,
20085,38.6773979123926,-9.16729831611831,3,
20085,38.6781727352788,-9.165215741955,4,
20085,38.6787527977973,-9.16336520336324,5,
20085,38.6789196489653,-9.16117530320558,6,
20085,38.6805420718416,-9.16002970091008,7,
20085,38.6816179525979,-9.15947630067914,8,
20085,38.6829472074798,-9.15782493030468,9,
20085,38.6823777316329,-9.15684010253631,10,
20085,38.6822203458231,-9.15449705930855,11,
20085,38.6823176738432,-9.1522213848428,12,
20085,38.6838568806317,-9.15034531973792,13,
20085,38.6849036593153,-9.14733491245668,14,
20085,38.6877541279532,-9.14684376343904,15,
20086,38.6877541279532,-9.14684376343904,1,
20086,38.6849903116712,-9.14748624306638,2,
20086,38.6840413222802,-9.15031559060132,3,
20086,38.6821502103538,-9.15284897705798,4,
20086,38.6811407441921,-9.15447538087556,5,
20086,38.6797335377046,-9.15722086915382,6,
20086,38.6795293102713,-9.16021597505656,7,
20086,38.6808240437642,-9.16162169653359,8,
20086,38.6794540377516,-9.16432025148636,9,
20086,38.6790312467347,-9.16618521078618,10,
20086,38.6772857960809,-9.16757227862227,11,
20086,38.6785416263642,-9.16769065838881,12,
20086,38.6765264268243,-9.17103898081812,13,
20087,38.6592349319073,-9.17309020587831,1,
20087,38.6565107452413,-9.17026331406253,2,
20087,38.6551124565878,-9.16659054389259,3,
20087,38.6546326077094,-9.16309906360697,4,
20087,38.6539798507295,-9.16149967288355,5,
20087,38.6516498968994,-9.1604689360111,6,
20087,38.6533521281946,-9.15795631127263,7,
20087,38.6541222801076,-9.15449517421056,8,
20087,38.6564798595273,-9.15442575066899,9,
20087,38.6585515497082,-9.15586244051329,10,
20087,38.6601418024742,-9.1569922508298,11,
20087,38.6641768527488,-9.15976643919725,12,
20087,38.6677616669689,-9.15942294945995,13,
20087,38.670345220493,-9.15915116535599,14,
20087,38.6736671364973,-9.16158290288054,15,
20087,38.6737490175458,-9.15833540727523,16,
20087,38.6760115255879,-9.15801202042242,17,
20087,38.677413297393,-9.15601529479374,18,
20087,38.6782181036382,-9.15345112509117,19,
20087,38.6795904509211,-9.15287052700914,20,
20087,38.6823176738432,-9.1522213848428,21,
20088,38.6822646532634,-9.15264980535778,1,
20088,38.6817900438403,-9.15237141447272,2,
20088,38.6796792567044,-9.15283111351575,3,
20088,38.678307161061,-9.15341213077694,4,
20088,38.6773417903061,-9.15615468934323,5,
20088,38.6754733173386,-9.15836790361204,6,
20088,38.6744471795551,-9.16024969904192,7,
20088,38.6741903242213,-9.16178141033909,8,
20088,38.6723256829638,-9.161071647701,9,
20088,38.6684772595757,-9.15932257081369,10,
20088,38.6639086977864,-9.15962144403406,11,
20088,38.6600972519943,-9.1569623911389,12,
20088,38.6561048644954,-9.15428884955021,13,
20088,38.6549822241941,-9.15496049353019,14,
20088,38.653143196604,-9.15819243485595,15,
20088,38.6516679847726,-9.16056337688606,16,
20088,38.6538963619818,-9.16151876374771,17,
20088,38.6546688501004,-9.1633723939102,18,
20088,38.6552413598763,-9.16714700682301,19,
20088,38.6566339568683,-9.17093722216178,20,
20088,38.6592349319073,-9.17309020587831,21,
20093,38.6745129862078,-9.18754814807121,1,
20093,38.67120278123,-9.19001508022229,2,
20093,38.6690058380729,-9.18953586927166,3,
20093,38.6676777333176,-9.18849110287281,4,
20093,38.6687747669014,-9.1850865085523,5,
20093,38.6691281380607,-9.1833154854869,6,
20093,38.6706629588424,-9.18044334094764,7,
20093,38.6706268946111,-9.17851184792161,8,
20093,38.6675918103801,-9.18150310958298,9,
20093,38.6666002303491,-9.18009082410263,10,
20093,38.672174624424,-9.17506732339606,11,
20093,38.672287790877,-9.16987167344348,12,
20093,38.6704807769493,-9.16541217366148,13,
20093,38.6696465367908,-9.16484586482419,14,
20093,38.669366973602,-9.16290809685317,15,
20093,38.6711526222843,-9.16086208546358,16,
20093,38.6721556917695,-9.16001824990476,17,
20093,38.6735854969352,-9.15927675106755,18,
20093,38.6760115255879,-9.15801202042242,19,
20093,38.677413297393,-9.15601529479374,20,
20093,38.6782181036382,-9.15345112509117,21,
20093,38.6795904509211,-9.15287052700914,22,
20093,38.6823176738432,-9.1522213848428,23,
20093,38.6838568806317,-9.15034531973792,24,
20093,38.6849036593153,-9.14733491245668,25,
20093,38.6877778639656,-9.14653655588887,26,
20094,38.6877778639656,-9.14653655588887,1,
20094,38.6849903116712,-9.14748624306638,2,
20094,38.6840413222802,-9.15031559060132,3,
20094,38.6817900438403,-9.15237141447272,4,
20094,38.6796792567044,-9.15283111351575,5,
20094,38.678307161061,-9.15341213077694,6,
20094,38.6773417903061,-9.15615468934323,7,
20094,38.6754733173386,-9.15836790361204,8,
20094,38.6739880043875,-9.15908323445602,9,
20094,38.6721317480695,-9.16004238724906,10,
20094,38.6708597362504,-9.1612459185677,11,
20094,38.6688959077737,-9.16226958050216,12,
20094,38.6685964969223,-9.16408478013401,13,
20094,38.669719744177,-9.16460710002488,14,
20094,38.6704807769493,-9.16541217366148,15,
20094,38.6723459299902,-9.16993606667386,16,
20094,38.673090449606,-9.17245886984458,17,
20094,38.6724466680018,-9.17517427334448,18,
20094,38.6666520191085,-9.18025588745729,19,
20094,38.6679330061796,-9.18081714425521,20,
20094,38.6708338099879,-9.178221667222,21,
20094,38.6703590458614,-9.1809365848912,22,
20094,38.6690782254797,-9.183371951817,23,
20094,38.6687462779844,-9.18557306800266,24,
20094,38.6677036903885,-9.18836525867241,25,
20094,38.669090304001,-9.1896144947162,26,
20094,38.67120278123,-9.19001508022229,27,
20094,38.6745129862078,-9.18754814807121,28,
20095,38.6446878035477,-9.14666347744751,1,
20095,38.6452090722526,-9.14704900552269,2,
20095,38.6464251413276,-9.14896991536759,3,
20095,38.6480512567773,-9.15063440299333,4,
20095,38.6489654674195,-9.1494104106237,5,
20095,38.6489516980471,-9.14657757236679,6,
20095,38.6502390067899,-9.14453119867122,7,
20095,38.6505486165041,-9.14332228095341,8,
20095,38.6516886060735,-9.14320301119782,9,
20095,38.6534525922026,-9.14590568551636,10,
20095,38.65403208088,-9.14752470508772,11,
20095,38.6554362083185,-9.14948220267015,12,
20095,38.654597933798,-9.15264303498726,13,
20095,38.6564798595273,-9.15442575066899,14,
20095,38.6585515497082,-9.15586244051329,15,
20095,38.6601418024742,-9.1569922508298,16,
20095,38.6641768527488,-9.15976643919725,17,
20095,38.6677616669689,-9.15942294945995,18,
20095,38.6707456304129,-9.15745397342904,19,
20095,38.6728977965932,-9.15500915195849,20,
20095,38.6740892934059,-9.15353965165423,21,
20095,38.6768420831358,-9.15143733393028,22,
20095,38.6801253751003,-9.14960713258376,23,
20095,38.6841472467294,-9.14717027488268,24,
20095,38.687916470022,-9.14781862015622,25,
20096,38.687916470022,-9.14781862015622,1,
20096,38.6843493877169,-9.14723304047087,2,
20096,38.6798589075857,-9.14975241688691,3,
20096,38.6768338499895,-9.15144221969221,4,
20096,38.6734473524463,-9.15430880690584,5,
20096,38.6684772595757,-9.15932257081369,6,
20096,38.6639086977864,-9.15962144403406,7,
