169 | 38.72326 | -9.13526 | 5 |  | INTENDENTE | 
169 | 38.72703 | -9.13488 | 6 |  | ANJOS | 
169 | 38.73285 | -9.1343 | 7 |  | ARROIOS | 
169 | 38.73696 | -9.13389 | 8 |  | ALAMEDA | 
169 | 38.74228 | -9.13349 | 9 |  | AREEIRO | 
169 | 38.74808 | -9.1413 | 10 |  | ROMA | 
169 | 38.75327 | -9.1441 | 11 |  | ALVALADE | 
169 | 38.76016 | -9.15788 | 12 |  | CAMPO GRANDE | 
169 | 38.76017 | -9.16609 | 13 |  | TELHEIRAS | 
170 | 38.734 | -9.15365 | 1 |  | SÃO SEBASTIÃO | 
170 | 38.73483 | -9.14528 | 2 |  | SALDANHA | 
170 | 38.73696 | -9.13389 | 3 |  | ALAMEDA | 
170 | 38.74019 | -9.12297 | 4 |  | OLAIAS | 
170 | 38.7476 | -9.11772 | 5 |  | BELA VISTA | 
170 | 38.75475 | -9.11404 | 6 |  | CHELAS | 
170 | 38.76084 | -9.11185 | 7 |  | OLIVAIS | 
170 | 38.76294 | -9.10518 | 8 |  | CABO RUIVO | 
170 | 38.76786 | -9.09973 | 9 |  | ORIENTE | 
170 | 38.77496 | -9.10304 | 10 |  | MOSCAVIDE | 
170 | 38.77499 | -9.11538 | 11 |  | ENCARNAÇÃO | 
170 | 38.76862 | -9.12833 | 12 |  | AEROPORTO | 
171 | 38.76862 | -9.12833 | 1 |  | AEROPORTO | 
171 | 38.77499 | -9.11538 | 2 |  | ENCARNAÇÃO | 
171 | 38.77496 | -9.10304 | 3 |  | MOSCAVIDE | 
171 | 38.76786 | -9.09973 | 4 |  | ORIENTE | 
171 | 38.76294 | -9.10518 | 5 |  | CABO RUIVO | 
171 | 38.76084 | -9.11185 | 6 |  | OLIVAIS | 
171 | 38.75475 | -9.11404 | 7 |  | CHELAS | 
171 | 38.7476 | -9.11772 | 8 |  | BELA VISTA | 
171 | 38.74019 | -9.12297 | 9 |  | OLAIAS | 
171 | 38.73696 | -9.13389 | 10 |  | ALAMEDA | 
171 | 38.73483 | -9.14528 | 11 |  | SALDANHA | 
171 | 38.734 | -9.15365 | 12 |  | SÃO SEBASTIÃO | 
4919 | 38.76223 | -9.19697 | 1 |  | PONTINHA | 
4919 | 38.75901 | -9.19276 | 2 |  | CARNIDE | 
4919 | 38.75372 | -9.18987 | 3 |  | COLÉGIO MILITAR | 
4919 | 38.74993 | -9.18007 | 4 |  | ALTO DOS MOINHOS | 
4919 | 38.74849 | -9.17252 | 5 |  | LARANJEIRAS | 
4919 | 38.7412 | -9.16836 | 6 |  | JARDIM ZOOLÓGICO | 
4919 | 38.7377 | -9.15936 | 7 |  | PRAÇA DE ESPANHA | 
4919 | 38.734 | -9.15365 | 8 |  | SÃO SEBASTIÃO | 
4919 | 38.72914 | -9.15015 | 9 |  | PARQUE | 
4919 | 38.72593 | -9.14965 | 10 |  | MARQUÊS DE POMBAL | 
4919 | 38.71934 | -9.14513 | 11 |  | AVENIDA | 
4919 | 38.7161 | -9.14239 | 12 |  | RESTAURADORES | 
4919 | 38.71041 | -9.14018 | 13 |  | BAIXA CHIADO | 
4919 | 38.70722 | -9.13286 | 14 |  | TERREIRO PAÇO | 
4919 | 38.71378 | -9.12212 | 15 |  | SANTA APOLÓNIA | 
4920 | 38.71378 | -9.12212 | 1 |  | SANTA APOLÓNIA | 
4920 | 38.70722 | -9.13286 | 2 |  | TERREIRO PAÇO | 
4920 | 38.71041 | -9.14018 | 3 |  | BAIXA CHIADO | 
4920 | 38.7161 | -9.14239 | 4 |  | RESTAURADORES | 
4920 | 38.71934 | -9.14513 | 5 |  | AVENIDA | 
4920 | 38.72593 | -9.14965 | 6 |  | MARQUÊS DE POMBAL | 
4920 | 38.72914 | -9.15015 | 7 |  | PARQUE | 
4920 | 38.734 | -9.15365 | 8 |  | SÃO SEBASTIÃO | 
