shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4084,38.7925475731051,-9.17271548580079,1,
4084,38.791057249045,-9.17632356459618,2,
4084,38.7921422314574,-9.1771882264296,3,
4084,38.7943479344027,-9.17943305862239,4,
4084,38.7959400456654,-9.18000801585008,5,
4084,38.7959065627853,-9.18251579978385,6,
4084,38.7959493494108,-9.18427921945672,7,
4084,38.7958818898677,-9.18319268996293,8,
4084,38.79601211291,-9.18048255501149,9,
4084,38.7971978777957,-9.17989987125738,10,
4084,38.7969439440029,-9.18078261595494,11,
4084,38.7974247709396,-9.18294011065934,12,
4084,38.799903390273,-9.18379378571054,13,
4084,38.8030777691466,-9.18360624176788,14,
4084,38.8047619989326,-9.18408725812866,15,
4084,38.8050563810659,-9.18484758862032,16,
4084,38.8044239141854,-9.18690259851887,17,
4084,38.8041159296026,-9.18762960185479,18,
4084,38.8055407762969,-9.18829204858892,19,
4084,38.8068891523803,-9.18811691510835,20,
4084,38.8062331498062,-9.19000743624928,21,
4084,38.8058157036058,-9.19345884720174,22,
4084,38.8038053522408,-9.1939003498581,23,
4084,38.804884374067,-9.19637999395453,24,
4084,38.806361070582,-9.20025118079195,25,
4084,38.8061976341037,-9.20128307092748,26,
4084,38.8041946863851,-9.199437889537,27,
4084,38.8020868689517,-9.19812563870124,28,
4084,38.8004384361761,-9.19690508959101,29,
4084,38.7981589022287,-9.19354645367477,30,
4084,38.7974028650174,-9.19229087572993,31,
4084,38.7966578210792,-9.19093755093375,32,
4084,38.796393421929,-9.18967461410562,33,
4084,38.7956059186513,-9.18806875211432,34,
4084,38.7944024979239,-9.18585773570791,35,
4084,38.7931511071867,-9.18360040148461,36,
4084,38.790430820936,-9.17956834228556,37,
4084,38.7911718698141,-9.17612281799172,38,
4084,38.7924232846757,-9.1720067453775,39,
4086,38.7611049866924,-9.15779012723709,1,
4086,38.7663227814887,-9.15758144274287,2,
4086,38.7729187659192,-9.16129666297779,3,
4086,38.7793375013028,-9.16328313888706,4,
4086,38.7835889123355,-9.1634856277945,5,
4086,38.789514573207,-9.1683470749837,6,
4086,38.7868881625616,-9.17047522799726,7,
4086,38.785327293735,-9.17156509397371,8,
4086,38.7868881625616,-9.17047522799726,9,
4086,38.790253122776,-9.17586593235568,10,
4086,38.790802106003,-9.17697449068485,11,
4086,38.7905862428214,-9.18078600795716,12,
4086,38.7926200493208,-9.18285044567604,13,
4086,38.7970746354457,-9.18561185448075,14,
4086,38.7990958430114,-9.18700543185616,15,
4086,38.8029033265655,-9.1903935478648,16,
4086,38.8027889051902,-9.19348213231979,17,
4086,38.804884374067,-9.19637999395453,18,
4086,38.806361070582,-9.20025118079195,19,
4086,38.8082334231556,-9.20346735919132,20,
4086,38.810314979431,-9.20524374985987,21,
4086,38.8136084656433,-9.21262619145351,22,
4086,38.8141068993243,-9.21454179683064,23,
4086,38.8150997999292,-9.21845853373101,24,
4086,38.8141840359851,-9.2211301590097,25,
4086,38.8129600374729,-9.22622850259747,26,
4086,38.8125662909491,-9.22752328477876,27,
4086,38.8110345404419,-9.23131220237766,28,
4086,38.80972887569,-9.23324357522753,29,
4087,38.8099019867058,-9.23328560791896,1,
4087,38.810942704799,-9.23142140331642,2,
4087,38.812589364908,-9.22727733468351,3,
4087,38.8132886603143,-9.2247371531094,4,
4087,38.814098189246,-9.22160712853646,5,
4087,38.8149230170752,-9.21900810056832,6,
4087,38.8140760635956,-9.21444060674148,7,
4087,38.8135404065316,-9.2123117995366,8,
4087,38.8104414628845,-9.2052668506812,9,
4087,38.8085757012125,-9.20367881672722,10,
4087,38.8064019183578,-9.20045523599124,11,
4087,38.8047112244647,-9.19605694331181,12,
4087,38.8027754600669,-9.19397909867793,13,
4087,38.8028902467136,-9.19076049360178,14,
4087,38.7994945123445,-9.1869716854768,15,
4087,38.797612209115,-9.18615421445638,16,
4087,38.7931511071867,-9.18360040148461,17,
4087,38.790430820936,-9.17956834228556,18,
4087,38.7896018044507,-9.17516885596917,19,
4087,38.785842851186,-9.17218120444374,20,
4087,38.7859362992004,-9.17001183756363,21,
