stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
61_22,,Almornos (Estr Parque 40),,38.8306590148888,-9.26860437482699,,,,
61_23,,Almornos (Estr Parque Fte 17) Chafariz,,38.8319935651833,-9.27010689013232,,,,
61_25,,Almornos (Estr Principal 34) (X) Mancebas,,38.8316518525384,-9.27151145157904,,,,
61_26,,Almornos (Estr Principal 34) (X) Mancebas,,38.831290893456,-9.27170258581867,,,,
61_701,,Alpriate (Esc),,38.8642863780381,-9.09350095792595,,,,
61_702,,Alpriate (Esc),,38.8641075148554,-9.09331812632249,,,,
61_703,,Alpriate (Lgo),,38.8627688682802,-9.09254354888234,,,,
61_1306,,Alto Bº Sousas,,38.8096121994158,-9.13989917137116,,,,
61_1307,,Alto Bº Sousas (X) R Vinha Grande,,38.8099010894778,-9.13951663670084,,,,
61_1947,,Alto Mucharros,,38.7927176799371,-9.13906162127067,,,,
61_1309,,Alto Mucharros (Pq Contentores),,38.7929216811894,-9.1383328492502,,,,
61_1310,,Alto Mucharros (X) Bº S Francisco,,38.7932869789371,-9.13843240283715,,,,
61_27,,Alvajar (R Alfredo Ruas 52),,38.8041992714913,-9.19940626569268,,,,
61_30,,Alvajar (R Principal) (X) R 25 Dezembro,,38.8001626298095,-9.19684451287835,,,,
61_29,,Alvajar (R Principal) (X) R 25 Dezembro,,38.8004384361761,-9.19690508959101,,,,
61_31,,Alvajar (R Principal) (X) Ramada,,38.8018895151662,-9.19809661582023,,,,
61_32,,Alvajar (R Principal 49 B),,38.8041946863851,-9.199437889537,,,,
61_33,,Alvajar (R Principal Fte 34 A),,38.8020868689517,-9.19812563870124,,,,
61_710,,Alverca (Armazém),,38.8871978909626,-9.03751090545756,,,,
61_1302,,Alverca (Armazém),,38.887192741529,-9.03751665958969,,,,
61_724,,Alverca (Av 5 Outubro) Fte Jardim,,38.9011217587572,-9.03855793360837,,,,
61_723,,Alverca (Av 5 Outubro 16) Mercado,,38.9012326310946,-9.03866936878572,,,,
61_712,,Alverca (Av Inf D Pedro 102),,38.8955889092678,-9.0374023243359,,,,
61_732,,Alverca (Av Inf D Pedro 107),,38.8959269513026,-9.03780565148526,,,,
61_898,,Alverca (Cemitério),,38.9072683225442,-9.03097724841959,,,,
61_713,,Alverca (EN 10),,38.8926565082148,-9.04202425898492,,,,
61_714,,Alverca (EN 10),,38.8918112501632,-9.04235318922923,,,,
61_718,,Alverca (EN 10) 70,,38.9018839896821,-9.03592150198023,,,,
61_715,,Alverca (EN 10) Consultório,,38.9004095781729,-9.03671467734792,,,,
61_913,,Alverca (EN 10) Fábrica,,38.9081447226784,-9.02895831323487,,,,
61_1315,,Alverca (EN 10) Quiosque,,38.8991633436267,-9.03735775449219,,,,
